date,gpm_precip_mm,landslide_id,smap_sm,esa_vol,gpm_7day_accum_mm,days-to-landslide,imerg_precip_mm
2015-06-03,0.1705295592546463,6992,0.61729693,79.08413696289062,48.54936968535185,7,
2015-06-02,42.55386734008789,6992,,96.33099365234375,48.138464234769344,6,
2015-06-01,2.7778496742248535,6992,0.5779448,64.3200912475586,48.138464234769344,5,
2015-05-31,0.041865892708301544,6992,,88.35966491699219,45.54411246627569,4,
2015-05-30,2.5943517684936523,6992,0.61729693,57.8749885559082,45.50224657356739,3,
2015-05-29,0.0,6992,0.59943926,56.119224548339844,42.72439689934254,2,
2015-05-28,0.4109054505825043,6992,,85.38407897949219,0.1705295592546463,1,
2015-09-04,4.32233190536499,7929,,0.4248976409435272,69.72775003314018,7,7.671394579
2015-09-03,0.9737048149108887,7929,0.09992758,0.22320806980133057,63.35711404681206,6,5.364800445
2015-09-02,0.06422151625156403,7929,0.10664239,1.5807487964630127,62.96447801589966,5,0.057035059
2015-09-01,0.0,7929,,0.3134896755218506,60.344728231430054,4,0.0
2015-08-31,0.014921185560524464,7929,0.10685262,0.0,21.557767629623413,3,0.1632034635
2015-08-30,4.922491550445557,7929,,0.0,9.940515279769897,2,2.032094941
2015-08-29,2.3458070755004883,7929,,0.02022402174770832,7.491621494293213,1,6.3161456175
2016-02-18,7.491621494293213,7523,0.32259595,,3.739690013229847,7,16.386679391
2016-02-17,2.4488937854766846,7523,0.3507196,,3.6343997418880463,6,0.8707646454
2016-02-16,11.617252349853516,7523,,,3.345799744129181,5,4.361814985847
2016-02-15,38.78696060180664,7523,0.3845241,100.0,3.345799744129181,4,76.69469099
2016-02-14,2.6197497844696045,7523,0.33667096,,2.2771998047828674,3,23.5702721757
2016-02-13,0.3926360309123993,7523,,,2.2771998047828674,2,5.4387907783
2016-02-12,6.370635986328125,7523,0.33648008,,1.7539998292922974,1,16.104169366
2016-02-27,1.7539998292922974,7530,,,12.643478048034012,7,
2016-02-26,0.5231999754905701,7530,0.3025297,,10.297670972533524,6,
2016-02-25,0.0,7530,0.27875108,,5.375179422087967,5,
2016-02-24,1.0685999393463135,7530,,,5.360258236527443,4,
2016-02-23,0.0,7530,0.2933367,,5.360258236527443,3,
2016-02-22,0.28859999775886536,7530,,,5.296036720275879,2,
2016-02-21,0.10529027134180069,7530,,,4.32233190536499,1,
2017-01-10,9.487598419189453,10540,,,139.656902551651,7,
2017-01-09,11.574002265930176,10540,,,118.80430436134338,6,
2017-01-08,12.207199096679688,10540,,,109.365305185318,5,
2017-01-07,2.6946001052856445,10540,,,107.77930545806885,4,
2017-01-06,0.0,10540,,,93.4867057800293,3,
2017-01-05,0.0,10540,,,66.7053050994873,2,
2017-01-04,4.984399795532227,10540,,,47.64970397949219,1,
2017-02-15,0.0,10542,,64.91140747070312,98.30660033226013,7,43.6771998082
2017-02-14,0.0,10542,0.33132794,69.92321014404297,83.11680006980896,6,81.017998396
2017-02-13,0.03837995603680611,10542,,69.89178466796875,81.5984001159668,5,11.6688002
2017-02-12,0.0,10542,0.34898812,60.66823196411133,69.73659896850586,4,0.0
2017-02-11,5.834399700164795,10542,0.37214282,82.8265380859375,47.1848030090332,3,0.469536007
2017-02-10,40.509002685546875,10542,,79.32417297363281,44.43060302734375,2,0.0
2017-02-09,21.838598251342773,10542,,74.3390884399414,22.340200424194336,1,0.0
2017-03-15,15.219199180603027,10509,,,68.60139513015747,7,
2017-03-14,14.71560001373291,10509,,,64.83759546279907,6,
2017-03-13,5.028799533843994,10509,,,40.89339876174927,5,
2017-03-12,7.774799346923828,10509,,,40.89339876174927,4,
2017-03-11,2.04259991645813,10509,,,40.89339876174927,3,
2017-03-10,13.63659954071045,10509,,,19.394999027252197,2,
2017-03-09,0.5151999592781067,10509,,,2.0473999977111816,1,
2017-03-16,47.64970397949219,10080,0.5834757,91.48210144042969,68.86063578352332,7,
2017-03-15,19.055601119995117,10080,0.48092014,82.3499755859375,53.952638652175665,6,
2017-03-14,26.781400680541992,10080,,81.88904571533203,51.586438681930304,5,
2017-03-13,14.29259967803955,10080,0.456503,62.33470916748047,47.473838832229376,4,
2017-03-12,1.5859997272491455,10080,0.46446875,75.29019165039062,24.47744372114539,3,
2017-03-11,9.43899917602539,10080,,63.3614501953125,24.41619873046875,2,
2017-03-10,20.852598190307617,10080,0.3407045,78.23779296875,24.41619873046875,1,
2017-03-18,22.340200424194336,10505,0.31958494,,68.02299308776855,7,
2017-03-17,22.090402603149414,10505,,,61.45999336242676,6,
2017-03-16,2.754199981689453,10505,0.34192672,97.56231689453125,57.23299312591553,5,
2017-03-15,22.551795959472656,10505,0.3559164,,44.38319206237793,4,
2017-03-14,11.861801147460938,10505,,,29.475194931030273,3,
2017-03-13,1.518399953842163,10505,0.26838338,,27.108994960784912,2,
2017-03-12,15.189800262451172,10505,0.420179,,22.996395111083984,1,
2017-03-18,72.2044448852539,10529,0.47581637,91.71725463867188,58.932797491550446,7,
2017-03-17,0.41166001558303833,10529,,71.58475494384766,58.41759753227234,6,
2017-03-16,49.31535720825195,10529,0.517535,96.24800872802734,44.78099799156189,5,
2017-03-15,78.1788558959961,10529,0.49573037,88.29438781738281,42.73839807510376,4,
2017-03-14,49.0407600402832,10529,,76.42645263671875,34.96359872817993,3,
2017-03-13,4.140498638153076,10529,0.4298064,69.38931274414062,29.934799194335938,2,
2017-03-12,15.945723533630371,10529,0.46446875,71.10018920898438,15.219199180603027,1,
2017-03-18,22.996395111083984,10510,,74.05622863769531,68.02299308776855,7,
