date,smap_sm,veg_water_content,esa_sm_percent,gpm_7day_accum_mm,gpm_7day_max_mm,ksat_log10cm/hr,clay_%,sand_%,silt_%,glc_lat,glc_lon,landslide_id,landslide_category,landslide_trigger,landslide_size,gpm_7day_accum_norm,imerg_7day_accum_mm,imerg_7day_max_mm
2015-04-27 00:00:00,0.31719744,6.8904223,69.36873626708984,,,0.45275771617889404,13.5,39.5,37.5,40.4802,-106.8393,6994,landslide,continuous_rain,medium,1.6192625373645442,,
2015-05-11 00:00:00,0.27276352,7.326808,77.62686157226562,17.17249856889248,7.465425491333008,-0.2320612072944641,29.5,35.5,33.5,39.779,-105.2274,7047,mudslide,continuous_rain,small,1.1325898592919381,,
2015-05-13 00:00:00,0.31321242,5.688665,49.0987434387207,33.41914767026901,21.057815551757812,-0.5059887766838074,33.5,18.5,36.5,38.9218,-104.8365,7060,landslide,continuous_rain,small,1.7115636857536496,,
2015-05-19 00:00:00,0.3020681,4.6553526,44.547489166259766,9.885129317641258,7.639515399932861,0.9321309328079224,21.5,34.5,17.5,38.2967,-105.2706,7051,mudslide,continuous_rain,small,1.6753317762488817,,
2015-05-19 00:00:00,0.28502265,2.7945693,68.61957550048828,22.491660922765732,16.875398635864258,0.45275771617889404,22.5,58.5,35.5,38.5526,-105.0948,7053,landslide,continuous_rain,medium,1.1325898592919381,,
2015-05-19 00:00:00,0.28502265,2.7945693,68.61957550048828,22.491660922765732,16.875398635864258,0.8636490702629089,22.5,58.5,35.5,38.5514,-105.0973,7052,landslide,continuous_rain,medium,1.832662239843556,,
2015-05-21 00:00:00,0.30192894,5.725318,50.94036865234375,22.27960877120495,13.308984756469727,0.9321309328079224,6.5,68.5,24.5,38.8327,-104.8466,7048,mudslide,continuous_rain,medium,1.0749917131438986,,
2015-06-19 00:00:00,0.27003127,5.8719993,56.400245666503906,222.32058537006378,172.2548370361328,0.7951671481132507,13.5,66.5,27.5,38.7714,-104.8574,6940,landslide,continuous_rain,medium,1.6107813727582587,,
2015-07-04 00:00:00,0.29957324,5.945235,31.884681701660156,46.6147186756134,15.700732231140137,0.9321309328079224,6.5,68.5,24.5,38.8117,-104.8538,7340,landslide,rain,small,,,
2015-07-07 02:00:00,0.32429147,7.3955727,65.97293853759766,72.1105785369873,17.80424690246582,0.5897215008735657,20.5,67.5,19.5,37.8514,-107.7791,7142,landslide,continuous_rain,medium,1.8820278823571148,,
2015-07-08 18:00:00,0.14173491,0.56117314,40.83015441894531,20.61716055870056,10.92359447479248,-0.02661554515361786,18.5,48.5,32.5,39.2233,-108.8895,7114,mudslide,continuous_rain,small,1.3949096642406562,,
2015-10-11 00:00:00,0.14542119,4.8278737,32.967491149902344,7.0182444751262665,3.926558017730713,0.17883014678955078,29.5,36.5,19.5,38.7612,-104.8318,8728,landslide,rain,large,1.901874452064581,13.0355842327,2.06
2016-05-12 00:00:00,0.38560227,7.0286403,85.26272583007812,58.6023211479187,31.723678588867188,0.2473120391368866,21.5,40.5,37.5,40.4673,-106.8302,7708,rock_fall,rain,small,2.6167281258113437,,
2016-06-20 16:50:00,0.23005311,8.411419,63.230018615722656,15.447018656414002,15.094555854797363,1.1375765800476074,13.5,66.5,36.5,39.4078,-105.4724,7834,mudslide,downpour,medium,1.0169791768549858,48.73659167520001,16.31717
2016-07-20 14:30:00,0.30035213,6.342713,87.70663452148438,20.23515124991536,11.017623901367188,0.45275771617889404,15.5,42.5,37.5,37.9933,-108.012,9116,mudslide,downpour,medium,1.6690205296421206,35.93282528684162,3.4399998
2016-07-20 14:30:00,0.29758707,6.342713,77.86331176757812,15.569875918328762,9.463510513305664,0.45275771617889404,20.5,35.5,37.5,38.0008,-108.0364,9117,mudslide,downpour,medium,1.089975433645938,19.868050110920805,1.5277216
2016-07-20 14:30:00,0.29758707,6.342713,77.86331176757812,15.569875918328762,9.463510513305664,0.5897215008735657,15.5,28.5,53.5,38.009,-108.0462,9109,mudslide,downpour,medium,1.089975433645938,19.868050110920805,1.5277216
2016-07-20 14:30:00,0.30035213,6.342713,87.70663452148438,20.23515124991536,11.017623901367188,0.45275771617889404,21.5,39.5,37.5,37.9926,-108.0164,9115,mudslide,downpour,medium,1.066169954163434,35.93282528684162,3.4399998
2016-07-20 14:30:00,0.29758707,6.342713,77.86331176757812,15.569875918328762,9.463510513305664,0.5897215008735657,15.5,28.5,53.5,38.0072,-108.044,9110,mudslide,downpour,medium,1.066169954163434,19.868050110920805,1.5277216
2016-07-20 14:30:00,0.29758707,6.342713,77.86331176757812,15.569875918328762,9.463510513305664,0.5897215008735657,15.5,28.5,53.5,38.0021,-108.0372,9111,mudslide,downpour,medium,1.066169954163434,19.868050110920805,1.5277216
2016-07-20 14:30:00,0.29758707,6.342713,87.70663452148438,20.23515124991536,11.017623901367188,0.8636490702629089,19.5,37.5,41.5,37.9979,-108.0336,9112,mudslide,downpour,medium,1.089975433645938,35.93282528684162,3.4399998
2016-07-20 14:30:00,0.29758707,6.342713,77.86331176757812,15.569875918328762,9.463510513305664,0.04186636209487915,19.5,34.5,37.5,38.0115,-108.0488,9108,mudslide,downpour,medium,1.089975433645938,19.868050110920805,1.5277216
2016-07-20 14:30:00,0.29758707,6.342713,77.86331176757812,15.569875918328762,9.463510513305664,0.5897215008735657,15.5,28.5,53.5,38.0131,-108.0511,9107,mudslide,downpour,medium,1.089975433645938,19.868050110920805,1.5277216
