date,smap_sm,veg_water_content,esa_sm_percent,gpm_7day_accum_mm,gpm_7day_max_mm,ksat_log10cm/hr,glc_lat,glc_lon,landslide_id,landslide_category,landslide_trigger,landslide_size,gpm_7day_accum_norm,imerg_7day_accum_mm,imerg_7day_max_mm
2015-08-29 00:00:00.000000,0.28562233,13.963708,31.506885528564453,7.71657523047179,7.145265579223633,0.45275771617889404,45.2824,-122.3327,7912,landslide,rain,medium,1.355090952510276,,
2015-11-16 00:00:00.000000,0.59256357,14.015653,98.97356414794922,41.98519951105118,22.567161560058594,0.04186636209487915,45.5737,-122.1529,7753,mudslide,rain,large,1.4581996807204285,77.2576084555,3.304656
2015-12-02 00:00:00.000000,0.3401756,7.0448575,61.633705139160156,16.41576713323593,15.971104621887207,0.45275771617889404,45.5102,-122.7037,9004,landslide,flooding,small,2.564251471372953,,
2015-12-07 00:00:00.000000,0.46795678,7.5402346,93.01614379882812,172.337563931942,92.27021789550781,-0.2320612072944641,45.5287,-122.7701,8993,landslide,flooding,medium,1.6772049280543502,404.1319978667,13.099999
2015-12-07 00:00:00.000000,0.4160067,9.3595085,91.32586669921875,175.2790510058403,97.10009002685547,0.7266852855682373,45.4772,-122.5092,7381,debris_flow,downpour,small,1.01089942379637,,
2015-12-07 00:00:00.000000,0.5158248,14.7825365,73.33100891113281,148.735755443573,97.1148681640625,1.6169499158859253,44.3984,-122.3454,8990,rock_fall,downpour,small,1.276048807829716,,
2015-12-07 00:00:00.000000,0.46795678,7.74301,93.01614379882812,180.20361429452896,96.63250732421875,0.45275771617889404,45.5803,-122.875,8992,landslide,flooding,medium,1.8267658151489023,431.32557479970006,16.576874
2015-12-07 09:00:00.000000,0.44774106,7.043478,89.58325958251953,172.337563931942,92.27021789550781,0.45275771617889404,45.5346,-122.741,7758,landslide,rain,small,1.0038846788384586,,
2015-12-09 00:00:00.000000,0.610427,12.573285,99.72285461425781,312.74825048446655,115.76925659179688,1.343022346496582,45.8346,-123.011,9021,mudslide,flooding,medium,1.2844045484240232,662.2296062902001,18.976053
2015-12-09 00:00:00.000000,0.6405344,14.153061,66.8441162109375,235.44053769111633,79.04190826416016,0.45275771617889404,42.4149,-124.4205,9019,mudslide,rain,small,1.1634992032716294,,
2015-12-09 09:00:00.000000,0.6448035,12.247454,66.71018981933594,363.3475008010864,138.67454528808594,1.8223955631256104,45.428,-123.8466,7761,landslide,continuous_rain,medium,1.2480670787564356,608.3631829958,23.019999
2015-12-17 00:00:00.000000,0.60708076,11.886751,88.67965698242188,93.79420453601051,33.32099533081055,0.45275771617889404,46.0951,-123.0073,7847,landslide,downpour,small,1.4868803487379545,,
2015-12-18 00:00:00.000000,0.6367405,12.8255825,,240.59372481703758,100.76786804199219,0.45275771617889404,44.6881,-124.0636,7845,landslide,downpour,small,1.4868803487379545,,
2015-12-18 00:00:00.000000,0.64225006,13.908437,66.12808227539062,159.03378726541996,76.1541976928711,1.6169499158859253,44.0434,-124.0743,9088,landslide,rain,medium,1.281163559523805,318.0675922858,27.893198
2015-12-18 09:00:00.000000,0.6412492,13.723405,66.12808227539062,355.14476212859154,127.65461730957031,1.2060585021972656,44.029,-124.1288,7844,landslide,continuous_rain,small,1.5034408696165225,,
2015-12-21 09:00:00.000000,0.64979666,14.29459,66.12808227539062,185.11409735679626,74.57059478759766,0.45275771617889404,44.1646,-124.0097,7764,landslide,rain,medium,1.953085420677556,337.21731688020003,21.6852
2015-12-21 09:00:00.000000,0.64979666,14.293736,66.12808227539062,185.11409735679626,74.57059478759766,0.7266852855682373,44.1705,-124.0874,7763,landslide,rain,small,1.41605235011273,,
2015-12-24 15:00:00.000000,0.63202584,14.540604,99.07752990722656,179.06752133369446,77.96803283691406,0.3157939314842224,42.9646,-123.8241,9118,landslide,rain,medium,1.281163559523805,344.58609903470006,19.32
2016-02-16 15:00:00.000000,0.6250575,14.755849,79.61731719970703,11.28137019649148,8.057031631469727,0.9321309328079224,43.433,-123.5684,7536,rock_fall,rain,medium,1.593671457200331,26.9931672024,7.2999997
2016-10-14 00:00:00.000000,0.64804876,12.386015,65.09365844726562,269.876675195992,136.15052795410156,1.685431718826294,45.5469,-123.9047,9632,landslide,rain,small,1.1349347633623146,,
2016-10-14 00:00:00.000000,0.65208185,13.507006,84.72442626953125,171.01280295848846,79.87245178222656,1.2060585021972656,45.4966,-123.677,9633,landslide,rain,small,1.3167921573775243,,
2016-10-15 18:08:00.000001,0.44272786,8.277803,99.965087890625,174.80034756660461,53.17876434326172,0.04186636209487915,45.4701,-122.6587,9631,mudslide,rain,small,1.1720226083178618,,
2016-11-09 00:00:00.000000,0.5714588,14.775705,96.3514404296875,6.61139490455389,4.992640972137451,1.548467993736267,43.270395,-122.606856,10362,landslide,rain,small,1.4183002977192305,,
2016-11-22 00:00:00.000000,0.6542146,13.606529,62.160404205322266,49.355061531066895,15.308043479919434,0.45275771617889404,45.585918,-123.586208,10530,landslide,rain,medium,2.099013455420642,104.30560391052778,8.070961
2016-11-30 00:00:00.000000,0.64979666,14.339804,54.684730529785156,220.33575604110956,123.514404296875,1.548467993736267,44.164338,-124.029762,10545,landslide,rain,small,6.483299629855623,,
2016-12-02 00:00:00.000000,0.5710293,9.1027,92.55131530761719,15.724258065223694,5.303966045379639,-0.1635793149471283,45.531962,-122.960461,10568,landslide,rain,small,1.2252056814058325,,
2016-12-20 00:00:00.000000,0.315831,9.435146,72.40125274658203,65.7778183221817,44.668601989746094,0.45275771617889404,45.629207,-122.822548,10576,landslide,rain,small,1.362982557100487,,
