date,gpm_precip_mm,landslide_id,smap_sm,esa_vol,gpm_7day_accum_mm,days-to-landslide,imerg_precip_mm
2015-04-27,0.14379027485847473,6994,0.27766564,69.36873626708984,9.568942427635193,7,
2015-04-26,0.0682285726070404,6994,0.2697736,,9.255543261766434,6,
2015-04-25,0.004841689020395279,6994,,54.474586486816406,9.04110798239708,5,
2015-04-24,0.022953374311327934,6994,0.31719744,,6.74416121840477,4,
2015-04-23,0.09075842052698135,6994,,55.441749572753906,4.189932197332382,3,
2015-04-22,0.020590890198946,6994,,,0.3356355130672455,2,
2015-04-21,0.0,6994,,,0.0,1,
2015-05-11,0.20812015235424042,7047,,38.34798049926758,222.32058537006378,7,
2015-05-10,2.215696334838867,7047,,77.62686157226562,220.52046835422516,6,
2015-05-09,7.465425491333008,7047,,,208.9191938638687,5,
2015-05-08,1.9183497428894043,7047,,74.23029327392578,207.14239406585693,4,
2015-05-07,0.15962599217891693,7047,0.27276352,49.87921905517578,34.88755702972412,3,
2015-05-06,0.1560273915529251,7047,,65.87484741210938,30.722517490386963,2,
2015-05-05,5.049253463745117,7047,0.24697833,42.370948791503906,4.404242038726807,1,
2015-05-13,4.860603332519531,7060,0.28652382,37.6165657043457,,7,
2015-05-12,0.20074373483657837,7060,0.28652382,37.856807708740234,,6,
2015-05-11,0.8451651930809021,7060,,28.646495819091797,,5,
2015-05-10,3.9966256618499756,7060,,49.0987434387207,,4,
2015-05-09,21.057815551757812,7060,,,,3,
2015-05-08,1.9291725158691406,7060,,36.56795120239258,,2,
2015-05-07,0.529021680355072,7060,0.31321242,43.04561233520508,,1,
2015-05-19,7.639515399932861,7051,,26.22980308532715,17.17249856889248,7,
2015-05-18,1.336126446723938,7051,0.20444492,,12.123245105147362,6,
2015-05-17,0.04657226800918579,7051,,20.372997283935547,11.967217713594437,5,
2015-05-16,0.510073184967041,7051,,20.087352752685547,11.80759172141552,4,
2015-05-15,0.09332069009542465,7051,,30.86593246459961,9.889241978526115,3,
2015-05-14,0.06277617067098618,7051,,44.547489166259766,2.4238164871931076,2,
2015-05-13,0.1967451572418213,7051,0.3020681,37.14155197143555,0.20812015235424042,1,
2015-05-19,16.875398635864258,7053,,54.61016845703125,22.27960877120495,7,
2015-05-18,0.5398037433624268,7053,0.21542269,37.979888916015625,21.33147941529751,6,
2015-05-17,1.1466360092163086,7053,,31.85225486755371,19.52050743997097,5,
2015-05-16,2.222607135772705,7053,,29.691530227661133,16.887244805693626,4,
2015-05-15,0.5942406058311462,7053,,49.273826599121094,14.53032098710537,3,
2015-05-14,0.12435570359230042,7053,,68.61957550048828,1.221336230635643,2,
2015-05-13,0.9886190891265869,7053,0.28502265,53.78034973144531,1.0503770112991333,1,
2015-05-19,16.875398635864258,7052,,54.61016845703125,9.885129317641258,7,
2015-05-18,0.5398037433624268,7052,0.21542269,37.979888916015625,9.688384160399437,6,
2015-05-17,1.1466360092163086,7052,,31.85225486755371,9.62560798972845,5,
2015-05-16,2.222607135772705,7052,,29.691530227661133,9.532287299633026,4,
2015-05-15,0.5942406058311462,7052,,49.273826599121094,9.022214114665985,3,
