date,gpm_precip_mm,landslide_id,smap_sm,esa_vol,gpm_7day_accum_mm,days-to-landslide,imerg_precip_mm
2015-05-28,0.13009047508239746,6996,,34.49283981323242,8.421007929369807,7,
2015-05-27,1.841734766960144,6996,0.23876545,49.121402740478516,8.374829037114978,6,
2015-05-26,1.8645613193511963,6996,,29.02366828918457,8.374829037114978,5,
2015-05-25,4.5265398025512695,6996,0.19863163,27.058155059814453,8.362926363945007,4,
2015-05-24,0.011902673169970512,6996,0.23741375,45.5441780090332,3.836386561393738,3,
2015-05-23,0.0,6996,,43.43427276611328,1.9718252420425415,2,
2015-05-22,0.04617889225482941,6996,0.2514658,39.86589431762695,0.13009047508239746,1,
2015-06-29,4.951236724853516,7041,,9.427902221679688,7.093167148530483,7,
2015-06-28,0.5709993243217468,7041,0.14072514,14.362252235412598,6.728673420846462,6,
2015-06-27,0.0,7041,,13.106361389160156,5.581119380891323,5,
2015-06-26,0.0,7041,0.12938495,11.690768241882324,5.5222360491752625,4,
2015-06-25,0.05888333171606064,7041,0.11685969,11.460424423217773,5.5222360491752625,3,
2015-06-24,1.1475540399551392,7041,,10.125261306762695,5.5222360491752625,2,
2015-06-23,0.364493727684021,7041,0.107309714,7.138094425201416,4.951236724853516,1,
2015-07-24,0.0,7785,,12.968871116638184,15.725192993879318,7,
2015-07-23,0.0,7785,,,4.923817604780197,6,
2015-07-22,0.0,7785,0.13402,14.46019458770752,2.1672734916210175,5,
2015-07-21,0.0,7785,,25.591224670410156,2.1672734916210175,4,
2015-07-20,0.026415031403303146,7785,0.17140907,34.75074005126953,2.0674776434898376,3,
2015-07-19,0.0,7785,0.19112904,28.558561325073242,1.5431715846061707,2,
2015-07-18,0.0,7785,,16.407306671142578,1.2206096649169922,1,
2015-07-24,0.0,7786,,12.968871116638184,59.09117305278778,7,
2015-07-23,0.0,7786,,,59.07213008403778,6,
2015-07-22,0.0,7786,0.13402,14.46019458770752,57.78387129306793,5,
2015-07-21,0.0,7786,,25.591224670410156,55.96073579788208,4,
2015-07-20,0.026415031403303146,7786,0.17140907,34.75074005126953,32.41189241409302,3,
2015-07-19,0.0,7786,0.19112904,28.558561325073242,6.771393299102783,2,
2015-07-18,0.0,7786,,16.407306671142578,1.361973762512207,1,
2015-10-10,12.188326835632324,7794,0.46540523,,101.98539710044861,7,
2015-10-09,0.1290394365787506,7794,,,101.98539710044861,6,
2015-10-08,4.034666538238525,7794,0.55002064,,90.28999590873718,5,
2015-10-07,15.054194450378418,7794,0.4470943,,50.18599581718445,4,
2015-10-06,6.613031387329102,7794,,,28.159197568893433,3,
2015-10-05,0.0,7794,0.484246,,21.536998510360718,2,
2015-10-04,0.059775084257125854,7794,,,19.913198471069336,1,
2015-11-13,20.614898681640625,8945,,67.4304428100586,52.205801010131836,7,9.6816320266
2015-11-12,3.0672712326049805,8945,0.4103322,49.6227912902832,52.205801010131836,6,1.097176804
2015-11-11,2.3223142623901367,8945,0.34517393,59.08001708984375,44.730401039123535,5,10.60208987
2015-11-10,0.0,8945,,62.617637634277344,39.50180101394653,4,0.0
2015-11-09,5.041919708251953,8945,0.43129408,78.64935302734375,28.90760087966919,3,2.200487683
2015-11-08,0.7341071963310242,8945,0.42641222,92.14756774902344,24.694800853729248,2,7.2966992699999995
2015-11-07,4.078685760498047,8945,,57.02789306640625,20.155000686645508,1,37.88673103
2015-11-14,65.78168487548828,8946,0.581128,62.74794387817383,155.73827062547207,7,2.186022364
2015-11-13,44.12528610229492,8946,,61.353675842285156,155.57892322540283,6,10.097921426000001
2015-11-12,0.9832894206047058,8946,0.581128,35.90321731567383,146.829683303833,5,0.06
2015-11-11,1.1026262044906616,8946,0.581128,49.990501403808594,101.78186225891113,4,0.6228353799999999
2015-11-10,0.04069994017481804,8946,,51.07678985595703,96.7416639328003,3,1.724337868
2015-11-09,3.7065253257751465,8946,0.581128,84.83705139160156,84.80763149261475,2,92.613842488
2015-11-08,0.8902842998504639,8946,0.581128,73.03828430175781,70.2615737915039,1,125.83029009
2015-11-16,1.361973762512207,7754,,65.2135009765625,272.5450744628906,7,0.055310646000000005
2015-11-15,5.409419536590576,7754,,88.23725128173828,259.34170627593994,6,1.819671918
2015-11-14,25.640499114990234,7754,0.5631715,99.8260498046875,224.60023975372314,5,1.425909638
2015-11-13,23.548843383789062,7754,,66.7455825805664,218.21666526794434,4,45.85247959
2015-11-12,1.823135495185852,7754,0.5295789,64.8663101196289,197.2477912902832,3,54.395007676
2015-11-11,1.2882587909698486,7754,0.48084116,42.03407669067383,163.80501556396484,2,10.447588154
2015-11-10,0.01904296875,7754,,56.93523406982422,71.45277404785156,1,2.9804286650000003
2015-11-17,19.913198471069336,7755,,,277.30029678344727,7,0.0
2015-11-16,1.6238000392913818,7755,,,263.29452323913574,6,23.390799680999997
2015-11-15,6.622199058532715,7755,,,222.23576545715332,5,80.20799649
2015-11-14,22.026798248291016,7755,,,217.1284465789795,4,44.05359869
2015-11-13,40.104000091552734,7755,,,195.2707633972168,3,13.2443993066
2015-11-12,11.695401191711426,7755,,,174.7193145751953,2,3.2475998998
2015-11-11,0.0,7755,,,63.69182586669922,1,39.8263989643
2015-11-17,68.08879089355469,8961,0.552068,93.98129272460938,373.1393299102783,7,3.581888255
2015-11-16,1.5096943378448486,8961,,63.769039154052734,345.9474067687988,6,1.947772675
2015-11-15,5.54140567779541,8961,,88.45133209228516,337.0355005264282,5,40.0426843677
2015-11-14,25.024080276489258,8961,0.5631715,98.57307434082031,324.83544731140137,4,52.82773654
