date,smap_sm,veg_water_content,esa_sm_percent,gpm_7day_accum_mm,gpm_7day_max_mm,ksat_log10cm/hr,glc_lat,glc_lon,landslide_id,landslide_category,landslide_trigger,landslide_size,gpm_7day_accum_norm,imerg_7day_accum_mm,imerg_7day_max_mm
2015-06-03 00:00:00,0.61729693,11.855348,96.33099365234375,48.54936968535185,42.55386734008789,0.45275771617889404,45.7021,-114.6379,6992,mudslide,downpour,medium,1.219100095296903,,
2015-09-04 00:00:00,0.10685262,6.375842,1.5807487964630127,12.643478048034012,4.922491550445557,0.3842758238315582,43.6091,-115.2605,7929,landslide,rain,medium,1.2848589451480774,21.604674105,1.1187179
2016-02-18 15:00:00,0.3845241,13.627922,100.0,69.72775003314018,38.78696060180664,0.7951671481132507,45.8288,-115.6031,7523,landslide,rain,medium,1.8190105416148201,143.427182332247,6.2999997
2016-02-27 15:30:00,0.3025297,9.589102,,3.739690013229847,1.7539998292922974,0.6582034230232239,44.104,-116.0033,7530,rock_fall,rain,small,1.6524059935090607,,
2017-01-10 00:00:00,,3.1340156,,40.94779968261719,12.207199096679688,0.9321309328079224,43.57998825,-116.14516735,10540,landslide,continuous_rain,small,1.6329660194305278,,
2017-02-15 00:00:00,0.37214282,0.6899132,82.8265380859375,68.22038059309125,40.509002685546875,0.45275771617889404,42.63338074,-114.52058723,10542,rock_fall,flooding,medium,1.5326423477407443,136.8335344112,11.8372
2017-03-15 07:00:00,,12.79047,,58.932797491550446,15.219199180603027,1.000612735748291,48.794633000000005,-116.155712,10509,mudslide,vibration,small,1.5242739250534314,,
2017-03-16 00:00:00,0.5834757,12.477599,91.48210144042969,139.656902551651,47.64970397949219,0.45275771617889404,46.545921,-116.247693,10080,landslide,rain,small,1.347879204744248,,
2017-03-18 00:00:00,0.420179,12.075822,97.56231689453125,98.30660033226013,22.551795959472656,0.3842758238315582,48.379985,-116.551955,10505,mudslide,rain,small,1.5216768329826822,,
2017-03-18 00:00:00,0.517535,11.913376,96.24800872802734,269.23730021715164,78.1788558959961,0.45275771617889404,46.483063,-116.172497,10529,landslide,rain,small,1.7301016794111848,,
2017-03-18 00:00:00,,11.976938,87.49140930175781,68.02299308776855,22.996395111083984,1.000612735748291,48.656783,-116.340039,10510,mudslide,rain,small,1.5326423477407443,,
2017-03-18 00:00:00,0.62662685,13.273575,,91.08277231454849,19.869199752807617,0.45275771617889404,48.130894,-116.479598,10516,landslide,rain,small,1.572333138465353,,
2017-03-18 00:00:00,0.56180024,14.039484,99.42230224609375,79.40839958190918,30.125200271606445,1.0690946578979492,46.12337387,-115.59791201,10566,landslide,rain,small,1.701245705457589,,
2017-03-18 00:00:00,0.28866434,13.420361,,93.03599715232849,22.500398635864258,1.343022346496582,46.84183063,-115.61919416,10528,landslide,rain,small,3.961309995927262,,
2017-03-18 00:00:00,0.4157256,14.039484,99.42230224609375,144.6462408900261,75.64421844482422,1.343022346496582,46.086845,-115.513358,10567,rock_fall,rain,small,1.8912791952154187,,
2017-03-18 18:00:00,,12.293138,87.49140930175781,68.02299308776855,22.996395111083984,1.000612735748291,48.694816,-116.311247,10508,mudslide,continuous_rain,small,1.4475362753968588,,
2017-03-21 20:40:00,,11.97037,87.49140930175781,68.86063578352332,24.41619873046875,0.45275771617889404,48.605862,-116.369756,10507,mudslide,continuous_rain,medium,1.4303926365885045,137.59879627330002,14.818799
2017-03-23 00:00:00,0.60376173,11.969167,90.27928161621094,51.202714040875435,18.345796585083008,0.3842758238315582,47.44916502,-116.7776802,10518,mudslide,rain,small,1.5404625625445272,,
2017-03-23 07:36:00,,11.690791,81.27293395996094,68.60139513015747,23.944196701049805,1.000612735748291,48.75463908,-116.4168941,10506,mudslide,rain,small,1.556422898982383,,
2017-04-09 00:00:00,0.5346783,12.02492,84.57611083984375,31.614201307296753,10.939400672912598,0.45275771617889404,48.72384823,-116.5300705,10511,landslide,continuous_rain,medium,1.5670668893392135,63.22840000629999,14.744001
2017-12-30 00:00:00,,12.031556,56.557151794433594,14.8691992983222,5.912999629974365,0.45275771617889404,46.221243220000005,-116.04895106,12706,mudslide,rain,small,1.282569963669388,,
2018-12-19 00:00:00,0.28992987,10.018135,86.12998962402344,20.403401607647538,8.489400863647461,1.6169499158859253,46.50053863,-116.3661232,13274,mudslide,rain,small,1.496703195777569,,
